,NCBI
2229,2652552
2230,2652553
2231,2652554
2232,2652555
2233,2652557
2234,2652558
2235,2652559
2236,2652561
2237,2652562
2238,2652563
2239,2652564
2240,2652565
2241,2652567
2242,2652568
2243,2652569
2244,2652570
2245,2652571
2246,2652572
2247,2652573
2248,2652574
2249,2652575
2250,2652576
2251,2652577
2252,2652578
2253,2652579
2254,2652580
2255,2652581
2256,2652583
2257,2652584
2258,2652586
2259,2652589
2260,2652590
2261,2652592
2262,2652593
2263,2652594
2264,2652595
2265,2652597
2266,2652598
2267,2652599
2268,2652601
2269,2652602
2270,2652603
2271,2652605
2272,2652606
2273,2652607
2274,2652609
2275,2652610
2276,2652611
2277,2652612
2278,2652613
2279,2652614
2280,2652615
2281,2652616
2282,2652617
2283,2652618
2284,2652620
2285,2652621
2286,2652622
2287,2652623
2288,2652625
2289,2652627
2290,2652628
2291,2652630
2292,2652632
2293,2652634
2294,2652635
2295,2652637
2296,2652638
2297,2652639
2298,2652640
2299,2652641
2300,2652644
2301,2652645
2302,2652647
2303,2652648
2304,2652649
2305,2652650
2306,2652652
2307,2652654
2308,2652655
2309,2652656
2310,2652658
2311,2652659
2312,2652660
2313,2652670
2314,2652673
2315,2652677
2316,2652679
2317,2652691
2318,2652695
2319,2653904
2320,2653910
2321,2653914
2322,2653920
2323,265497
2324,265775
2325,265783
2326,266091
2327,2662166
2328,2662167
2329,2665689
2330,267241
2331,267557
2332,2675838
2333,26766
2334,268079
2335,268080
2336,26818
2337,2684640
2338,26867
2339,268838
2340,268884
