name,rank,id
Stigmaphyllon harleyi,species,1804196
Stigmaphyllon hatschbachii,species,1804197
Stigmaphyllon lalandianum,species,1804199
Stigmaphyllon macropodum,species,1804200
Stigmaphyllon puberulum,species,1804201
Stigmaphyllon salzmannii,species,1804202
Stigmaphyllon saxicola,species,1804203
Stigmaphyllon sinuatum,species,1804204
Stigmaphyllon tomentosum,species,1804205
Stigmaphyllon urenifolium,species,1804206
Stigmaphyllon vitifolium,species,1804207
Amorimia andersonii,species,1816314
Amorimia coriacea,species,1816315
Amorimia concinna,species,1816319
Amorimia pubiflora,species,1816320
Banisteriopsis parviglandula,species,1816321
Banisteriopsis variabilis,species,1816322
Niedenzuella multiglandulosa,species,1816324
Niedenzuella poeppigiana,species,1816325
Stigmaphyllon palmatum,species,2662167
Stachytarpheta cayennensis,species,39376
Verbenaceae,family,21910
Stachytarpheta,genus,39255
Ardisia crenata,species,13345
Ardisia,genus,13344
Celastrus orbiculatus,species,85181
Celastrales,order,233875
Celastraceae,family,4305
Celastrus,genus,85180
Lippia alba,species,320345
Lippia,genus,320344
Stryphnodendron adstringens,species,397648
Stryphnodendron,genus,148725
Stereospermum acuminatissimum,species,2708984
Stereospermum,genus,260324
Nepenthes ventricosa x Nepenthes alata,species,1744888
Nepenthaceae,family,4374
Nepenthes,genus,4375
Espeletia argentea,species,1933510
Espeletia,genus,185152
Espeletia annemariana,species,1933508
Mitragyna speciosa,species,170351
Mitragyna,genus,170021
Lycopodium clavatum,species,3252
Lycopodiales,order,3249
Lycopodiaceae,family,3250
Lycopodium,genus,3251
Equisetum hyemale,species,3262
Polypodiopsida,class,241806
Equisetales,order,3255
Equisetaceae,family,3256
Equisetum,genus,3257
Ginkgo biloba,species,3311
Ginkgoopsida,class,29811
Ginkgoales,order,3308
Ginkgoaceae,family,3309
Ginkgo,genus,3310
Coptis japonica,species,3442
Ranunculaceae,family,3440
Coptis,genus,3441
