MassIVE,Filename,node_id,file_usi
MSV000084900,18NAVY30_v1_lun_3_BH8_01_39719.mzXML,corn,mzspec:MSV000084900:18NAVY30_v1_lun_3_BH8_01_39719
MSV000084900,18NAVY30_v1_lun_4_BA9_01_39708.mzXML,cucumber,mzspec:MSV000084900:18NAVY30_v1_lun_4_BA9_01_39708
MSV000084900,18NAVY30_v1_lun_5_BB9_01_39711.mzXML,grape,mzspec:MSV000084900:18NAVY30_v1_lun_5_BB9_01_39711
MSV000084900,18NAVY30_v1_lun_6_BC9_01_39712.mzXML,plant,mzspec:MSV000084900:18NAVY30_v1_lun_6_BC9_01_39712
MSV000084900,18NAVY30_v1_lun_7_BD9_01_39713.mzXML,tomato,mzspec:MSV000084900:18NAVY30_v1_lun_7_BD9_01_39713
MSV000084900,18NAVY30_v1_lun_8_BE9_01_39714.mzXML,green grape,mzspec:MSV000084900:18NAVY30_v1_lun_8_BE9_01_39714
MSV000084900,18NAVY30_v1_lun_9_BF9_01_39720.mzXML,chicken,mzspec:MSV000084900:18NAVY30_v1_lun_9_BF9_01_39720
MSV000084900,18NAVY30_V1_lunch_rerun_RC4_01_39880.mzXML,complex,mzspec:MSV000084900:18NAVY30_V1_lunch_rerun_RC4_01_39880
MSV000084900,18NAVY30_V1_snack_rerun_RC1_01_39879.mzXML,complex,mzspec:MSV000084900:18NAVY30_V1_snack_rerun_RC1_01_39879
MSV000084900,18NAVY30_v1_snk_1_BE7_01_39768.mzXML,fruit,mzspec:MSV000084900:18NAVY30_v1_snk_1_BE7_01_39768
MSV000084900,18NAVY30_v1_snk_2_BF7_01_39767.mzXML,strawberry,mzspec:MSV000084900:18NAVY30_v1_snk_2_BF7_01_39767
MSV000084900,18NAVY30_v1_sup_1_BH7_01_39790.mzXML,complex,mzspec:MSV000084900:18NAVY30_v1_sup_1_BH7_01_39790
MSV000084900,18NAVY30_v1_sup_2_BA8_01_39754.mzXML,black bean,mzspec:MSV000084900:18NAVY30_v1_sup_2_BA8_01_39754
MSV000084900,18NAVY30_v1_sup_3_BB8_01_39750.mzXML,plant,mzspec:MSV000084900:18NAVY30_v1_sup_3_BB8_01_39750
MSV000084900,18NAVY30_v1_sup_4_BC8_01_39753.mzXML,plant,mzspec:MSV000084900:18NAVY30_v1_sup_4_BC8_01_39753
MSV000084900,18NAVY30_v1_sup_5_BD8_01_39788.mzXML,rice,mzspec:MSV000084900:18NAVY30_v1_sup_5_BD8_01_39788
MSV000084900,18NAVY30_v1_sup_6_BE8_01_39789.mzXML,plant,mzspec:MSV000084900:18NAVY30_v1_sup_6_BE8_01_39789
MSV000084900,18NAVY30_V1_supper_rerun_RC3_01_39881.mzXML,complex,mzspec:MSV000084900:18NAVY30_V1_supper_rerun_RC3_01_39881
MSV000084900,18NAVY30_V2_ALL_GB7_01_39819.mzXML,complex,mzspec:MSV000084900:18NAVY30_V2_ALL_GB7_01_39819
MSV000084900,18NAVY30_V2_breakfast_GB4_01_39814.mzXML,complex,mzspec:MSV000084900:18NAVY30_V2_breakfast_GB4_01_39814
MSV000084900,18NAVY30_v2_brk_1_GH5_01_39552.mzXML,complex,mzspec:MSV000084900:18NAVY30_v2_brk_1_GH5_01_39552
MSV000084900,18NAVY30_v2_lun_1_rerun_GG6_01_39675.mzXML,chicken,mzspec:MSV000084900:18NAVY30_v2_lun_1_rerun_GG6_01_39675
MSV000084900,18NAVY30_v2_lun_2_GH6_01_39633.mzXML,cucumber,mzspec:MSV000084900:18NAVY30_v2_lun_2_GH6_01_39633
MSV000084900,18NAVY30_v2_lun_3_GA7_01_39638.mzXML,complex,mzspec:MSV000084900:18NAVY30_v2_lun_3_GA7_01_39638
MSV000084900,18NAVY30_v2_lun_4_GB7_01_39634.mzXML,tomato,mzspec:MSV000084900:18NAVY30_v2_lun_4_GB7_01_39634
MSV000084900,18NAVY30_v2_lun_5_GC7_01_39635.mzXML,green grape,mzspec:MSV000084900:18NAVY30_v2_lun_5_GC7_01_39635
MSV000084900,18NAVY30_v2_lun_6_GD7_01_39636.mzXML,corn,mzspec:MSV000084900:18NAVY30_v2_lun_6_GD7_01_39636
